ID_x,Woningkenmerken,RegioS,Perioden,GemiddeldAardgasverbruik_1,GemiddeldeElektriciteitslevering_2,GemiddeldeNettoElektriciteitslevering_3,Stadsverwarming_4,region_year,norm_prod_solar_smallpower,norm_prod_solar_bigpower,norm_prod_solar_allpower,norm_prod_wind,ParticuliereHuishoudensRelatief_2,GemiddeldGestandaardiseerdInkomen_3,MediaanGestandaardiseerdInkomen_4,GemiddeldBesteedbaarInkomen_5,MediaanBesteedbaarInkomen_6,GestandaardiseerdInkomen1e10Groep_7,GestandaardiseerdInkomen2e10Groep_8,GestandaardiseerdInkomen3e10Groep_9,GestandaardiseerdInkomen4e10Groep_10,GestandaardiseerdInkomen5e10Groep_11,GestandaardiseerdInkomen6e10Groep_12,GestandaardiseerdInkomen7e10Groep_13,GestandaardiseerdInkomen8e10Groep_14,GestandaardiseerdInkomen9e10Groep_15,GestandaardiseerdInkomen10e10Groep_16,ParticuliereHuishoudens_1,BevolkingAanHetBeginVanDePeriode_1,BevolkingAanHetEindeVanDePeriode_15,BevolkingsgroeiSinds1Januari_13,Bevolkingsgroei_11,EmigratieInclusiefAdmCorrecties_9,ID_y,Immigratie_6,LevendGeborenKinderen_2,OverigeCorrecties_10,Overledenen_3,TotaalVertrekInclAdmCorrecties_7,TotaleVestiging_4,VertrekNaarAndereGemeente_8,VestigingVanuitEenAndereGemeente_5,BevolkingsgroeiRelatief_12,BevolkingsgroeiSinds1JanuariRela_14,"(5, 'RegioS')","(5, 'Perioden')","(11, 'RegioS')","(11, 'Perioden')","(17, 'RegioS')","(17, 'Perioden')","(23, 'RegioS')","(23, 'Perioden')","(29, 'RegioS')","(29, 'Perioden')","(35, 'RegioS')","(35, 'Perioden')","(41, 'RegioS')","(41, 'Perioden')","(47, 'RegioS')","(47, 'Perioden')","(63, 'RegioS')","(63, 'Perioden')","(69, 'RegioS')","(69, 'Perioden')","(75, 'RegioS')","(75, 'Perioden')","(81, 'RegioS')","(81, 'Perioden')","(87, 'RegioS')","(87, 'Perioden')","(138, 'RegioS')","(138, 'Perioden')","(144, 'RegioS')","(144, 'Perioden')","(150, 'RegioS')","(150, 'Perioden')","(156, 'RegioS')","(156, 'Perioden')","(162, 'RegioS')","(162, 'Perioden')","(168, 'RegioS')","(168, 'Perioden')","(174, 'RegioS')","(174, 'Perioden')","(180, 'RegioS')","(180, 'Perioden')","(186, 'RegioS')","(186, 'Perioden')","(192, 'RegioS')","(192, 'Perioden')","(198, 'RegioS')","(198, 'Perioden')","(204, 'RegioS')","(204, 'Perioden')","(210, 'RegioS')","(210, 'Perioden')"
6887.0,T001100,ET1602,2020JJ00,1150.0,2590.0,,,ET1602_2020JJ00,52.0,24.0,75.0,,100.0,35.26760160274756,30.753291356611328,50.907040641099016,40.46473955352032,7.801373783629077,9.123640526617056,9.287922152261018,9.307384087006296,9.285060103033771,9.413279908414424,10.255867200915851,10.33600457927876,11.18889524899828,13.4361763022324,174.70000000000002,"380279,000000","380405,000000","126,000000","126,000000","2749,000000",606599,"3731,000000","3706,000000","-19,000000","4129,000000","23149,000000","23717,000000","20400,000000","19986,000000","0,195714","0,195714",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6888.0,T001100,ET1602,2021JJ00,1310.0,2650.0,2470.0,,ET1602_2021JJ00,64.0,25.0,89.0,,100.0,37.5155162578437,32.122932116371935,53.73964632059328,42.10222475755848,7.906446092413007,9.120935539075871,9.286936679977185,9.293782087849404,9.343981745579008,9.357672561323444,9.910439247005137,10.45407872219053,11.18996006845408,13.492298916143756,175.3,"380405,000000","381049,000000","644,000000","644,000000","2744,000000",606690,"3539,000000","3880,000000","-16,000000","4124,000000","22424,000000","23328,000000","19680,000000","19789,000000","0,185714","0,185714",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6889.0,T001100,ET1602,2022JJ00,1020.0,2470.0,2230.0,,ET1602_2022JJ00,98.0,39.0,137.0,,100.0,39.56325951164112,33.87455990914253,56.517603634298695,44.25814877910279,7.9193639977285635,9.35320840431573,9.287336740488358,9.239068710959682,9.19818285065304,9.41396933560477,9.53833049403748,10.350369108461102,11.141396933560475,14.14082907438955,176.1,"381049,000000","385570,000000","4521,000000","4521,000000","3211,000000",606781,"6501,000000","3695,000000","-13,000000","4155,000000","22102,000000","27096,000000","18891,000000","20595,000000","1,175714","1,175714",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6898.0,T001100,ET1603,2018JJ00,,,,,ET1603_2018JJ00,27.0,19.0,46.0,,100.0,30.0720819112628,27.40191126279863,44.19098976109215,37.6635494880546,6.617747440273037,9.232764505119452,10.18703071672355,10.26075085324232,10.47508532423208,10.916723549488054,11.114675767918088,10.83890784982935,11.109215017064846,10.202047781569965,146.5,"325225,000000","326990,000000","1765,000000","1765,000000","1793,000000",888770,"2547,000000","3156,000000","-4,000000","2881,000000","13237,000000","14731,000000","11444,000000","12184,000000","0,620000","0,620000",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6899.0,T001100,ET1603,2019JJ00,,,,,ET1603_2019JJ00,36.0,29.0,65.0,21.0,100.0,32.021913161465406,28.75325644504749,47.16024423337856,39.45671641791045,6.613975576662144,9.309362279511534,9.94708276797829,10.259158751696065,10.0325644504749,10.385345997286295,10.967435549525105,11.058344640434193,11.128900949796472,10.127544097693352,147.4,"326990,000000","329160,000000","2170,000000","2170,000000","1745,000000",888861,"2619,000000","3206,000000","8,000000","2797,000000","13454,000000","15207,000000","11709,000000","12588,000000","0,332857","0,332857",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6900.0,T001100,ET1603,2020JJ00,970.0,2800.0,,18.5,ET1603_2020JJ00,55.0,42.0,97.0,24.0,100.0,32.482166890982505,29.75942126514132,47.81292059219381,40.707267833109015,7.407133243606998,9.28936742934051,9.94549125168237,10.259757738896363,10.00471063257066,10.438088829071331,10.940107671601616,10.788021534320324,11.010094212651412,9.933378196500673,148.6,"329160,000000","329751,000000","591,000000","591,000000","1607,000000",888952,"2426,000000","3052,000000","-15,000000","3245,000000","14026,000000","14825,000000","12419,000000","12399,000000","0,102857","0,102857",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6901.0,T001100,ET1603,2021JJ00,1080.0,2830.0,2600.0,18.7,ET1603_2021JJ00,68.0,48.0,116.0,21.0,100.0,34.01239115874079,30.95023442732753,50.00261219022104,42.281915606162094,7.354320160750168,9.336235766912258,10.321500334896184,9.916945746818486,9.964501004688548,10.388479571332889,10.498325519089084,10.74146014735432,10.949095780308106,9.876758204956465,149.3,"329751,000000","330097,000000","346,000000","346,000000","1711,000000",889043,"2283,000000","3322,000000","9,000000","3225,000000","14588,000000","14828,000000","12877,000000","12545,000000","0,065714","0,065714",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6902.0,T001100,ET1603,2022JJ00,840.0,2650.0,2320.0,18.8,ET1603_2022JJ00,108.0,71.0,178.0,21.0,100.0,35.97302325581396,32.72285714285715,52.65887043189369,44.557807308970105,7.346179401993355,9.361461794019936,10.211960132890368,9.88970099667774,9.916943521594684,10.316943521594684,10.473754152823922,10.79269102990033,10.90564784053156,10.017940199335548,150.5,"340800,000000","346016,000000","5216,000000","5216,000000","2176,000000",889134,"5139,000000","3200,000000","1,000000","3259,000000","14211,000000","19485,000000","12035,000000","14346,000000","1,325714","1,325714",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6911.0,T001100,ET1604,2018JJ00,,,,,ET1604_2018JJ00,19.0,6.0,25.0,,100.0,36.7943074003795,29.36110056925996,54.01366223908917,39.227229601518026,7.082542694497153,8.734345351043642,9.002846299810246,9.002846299810246,8.621442125237191,8.794117647058822,9.674573055028462,10.223908918406073,11.393738140417458,18.02751423149905,105.4,"233827,000000","235636,000000","1809,000000","1809,000000","1828,000000",513717,"2998,000000","2228,000000","2,000000","2481,000000","13948,000000","16008,000000","12120,000000","13010,000000","1,156667","1,156667",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6912.0,T001100,ET1604,2019JJ00,,,,,ET1604_2019JJ00,26.0,11.0,37.0,,100.0,40.30800376647834,30.82900188323917,59.22956685499059,41.08898305084745,7.080037664783426,8.729755178907721,9.0,8.431261770244822,8.621468926553673,8.793785310734464,9.434086629001884,10.225047080979284,11.702448210922787,18.1271186440678,106.2,"235636,000000","237337,000000","1701,000000","1701,000000","1814,000000",513795,"3137,000000","2184,000000","10,000000","2441,000000","14736,000000","16684,000000","12922,000000","13547,000000","1,078333","1,078333",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
